natureza_acidente,situacao,bairro,bairro_cruzamento,sentido_via,tipo,auto,moto,ciclom,ciclista,pedestre,onibus,caminhao,viatura,outros,acidente_verificado,tempo_clima,situacao_semaforo,sinalizacao,condicao_via,conservacao_via,ponto_controle,situacao_placa,mao_direcao,divisao_via1,ano,mes,dia,dia_semana,vitima
SEM VÍTIMA,CANCELADA,AREIAS,AREIAS,Não informado,COLISÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,2020,1,7,1,0
Não informado,FINALIZADA,IMBIRIBEIRA,IMBIRIBEIRA,SUBURBIO,COLISÃO TRASEIRA,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,2022,6,3,4,0
SEM VÍTIMA,FINALIZADA,BOA VISTA,BOA VISTA,CIDADE,ABALROAMENTO LONGITUDINAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cruzamento,Bom,Não existe,Incompleta,Seca,Perfeito estado,Não informado,Placas Pare,Não informado,Não existe,2020,1,6,0,0
SEM VÍTIMA,FINALIZADA,SÃO JOSÉ,SÃO JOSÉ,SUBURBIO,ABALROAMENTO TRANSVERSAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Outras,Dupla,Canteiro central,2020,1,25,5,0
COM VÍTIMA,FINALIZADA,SANTO AMARO,SANTO AMARO,CIDADE,COLISÃO FRONTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Não existe,Não há placas,Dupla,Faixa contínua,2021,9,10,4,0
SEM VÍTIMA,FINALIZADA,PINA,PINA,SUBURBIO,COLISÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cruzamento,Bom,Não existe,Incompleta,Seca,Perfeito estado,Não existe,Outras,Única,Faixa seccionada,2020,2,12,2,0
SEM VÍTIMA,FINALIZADA,MADALENA,MADALENA,CIDADE,ABALROAMENTO LONGITUDINAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Outras,Única,Faixa seccionada,2020,2,10,0,0
SEM VÍTIMA,FINALIZADA,BOA VIAGEM,BOA VIAGEM,CIDADE,ABALROAMENTO LONGITUDINAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cruzamento,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Placas Pare,Dupla,Faixa contínua,2020,3,13,4,0
SEM VÍTIMA,FINALIZADA,JOANA BEZERRA,JOANA BEZERRA,CIDADE,COLISÃO TRASEIRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Sem defeito,Incompleta,Seca,Perfeito estado,Não informado,R-6a,Dupla,Faixa contínua,2021,8,17,1,0
COM VÍTIMA,CANCELADA,BONGI,BONGI,Não informado,COLISÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,2020,7,15,2,0
COM VÍTIMA,FINALIZADA,IMBIRIBEIRA,IMBIRIBEIRA,IPSEP,ABALROAMENTO LONGITUDINAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Não existe,Não existente,Seca,Perfeito estado,Não existe,Outras,Dupla,Não existe,2020,12,2,2,0
COM VÍTIMA,FINALIZADA,CAMPO GRANDE,CAMPO GRANDE,SUBURBIO,CHOQUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Chuvoso,Não existe,Perfeito estado,Molhada,Perfeito estado,Não existe,Não há placas,Dupla,Faixa contínua,2021,12,23,3,0
COM VÍTIMA,FINALIZADA,IPSEP,IPSEP,Não informado,COLISÃO TRANSVERSAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cruzamento,Bom,Não existe,Não existente,Seca,Perfeito estado,Não existe,Não há placas,Dupla,Não existe,2021,9,23,3,0
SEM VÍTIMA,FINALIZADA,BOA VISTA,BOA VISTA,CIDADE,ABALROAMENTO LONGITUDINAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Não existe,Não existente,Seca,Mal conservada,Não existe,Não há placas,Única,Não existe,2020,3,3,1,0
COM VÍTIMA,FINALIZADA,ENCRUZILHADA,ENCRUZILHADA,CIDADE,ATROPELAMENTO DE PESSOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Não existe,Ilegível,Seca,Perfeito estado,Outros,Outras,Dupla,Faixa seccionada,2021,10,22,4,0
SEM VÍTIMA,CANCELADA,PARNAMIRIM,PARNAMIRIM,Não informado,COLISÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,2020,2,25,1,0
Não informado,CANCELADA,CAXANGÁ,CAXANGÁ,SUBURBIO,COLISÃO LATERAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,2022,6,6,0,1
COM VÍTIMA,FINALIZADA,IPSEP,IPSEP,CIDADE,COLISÃO TRASEIRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Outras,Dupla,Faixa contínua,2020,1,27,0,0
SEM VÍTIMA,FINALIZADA,POÇO DA PANELA,POÇO DA PANELA,CIDADE,ABALROAMENTO LONGITUDINAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Não existe,Incompleta,Seca,Mal iluminada,Não existe,Não há placas,Dupla,Não existe,2020,3,6,4,0
COM VÍTIMA,FINALIZADA,BOA VIAGEM,BOA VIAGEM,SUBURBIO,COLISÃO TRANSVERSAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cruzamento,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Faixa de retenção,R-6a,Dupla,Faixa seccionada,2021,9,15,2,0
COM VÍTIMA,FINALIZADA,BOA VIAGEM,BOA VIAGEM,CIDADE,ABALROAMENTO LONGITUDINAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não há placas,Dupla,Canal,2020,1,16,3,0
COM VÍTIMA,FINALIZADA,MANGUEIRA,MANGUEIRA,SUBURBIO,ABALROAMENTO TRANSVERSAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cruzamento,Bom,Não existe,Incompleta,Seca,Perfeito estado,Não existe,Não há placas,Dupla,Não existe,2020,7,19,6,0
COM VÍTIMA,FINALIZADA,ENCRUZILHADA,ENCRUZILHADA,SUBURBIO,ABALROAMENTO TRANSVERSAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Placas Pare,Dupla,Faixa seccionada,2020,3,4,2,0
COM VÍTIMA,FINALIZADA,IBURA,IBURA,SUBURBIO,CHOQUE OBJETO FIXO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Outros,Outras,Única,Faixa,2020,4,20,0,0
COM VÍTIMA,FINALIZADA,CASA AMARELA,CASA AMARELA,CIDADE,COLISÃO TRASEIRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Chuvoso,Sem defeito,Perfeito estado,Molhada,Perfeito estado,Faixa de pedestre,Outras,Dupla,Canteiro central,2021,8,20,4,0
Não informado,CANCELADA,CASA AMARELA,CASA AMARELA,Não informado,COLISÃO FRONTAL,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,2022,10,7,4,1
COM VÍTIMA,FINALIZADA,BOA VIAGEM,BOA VIAGEM,Não informado,COLISÃO LATERAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cruzamento,Bom,Não existe,Incompleta,Seca,Perfeito estado,Não existe,"Placas ""Pare""",Única,Faixa seccionada,2021,6,15,1,0
COM VÍTIMA,FINALIZADA,BOA VISTA,BOA VISTA,OLINDA,ABALROAMENTO LONGITUDINAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Agente,R-4a,Dupla,Canteiro central,2020,9,8,1,0
SEM VÍTIMA,FINALIZADA,BOA VIAGEM,BOA VIAGEM,SUBURBIO,COLISÃO TRASEIRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Não informado,Única,Faixa contínua,2020,1,27,0,0
COM VÍTIMA,FINALIZADA,TORRE,TORRE,CIDADE,ABALROAMENTO TRANSVERSAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cruzamento,Chuvoso,Sem defeito,Perfeito estado,Molhada,Perfeito estado,Faixa de pedestre,R-6a,Dupla,Faixa contínua,2020,4,2,3,0
COM VÍTIMA,FINALIZADA,SÃO JOSÉ,SÃO JOSÉ,CIDADE,COLISÃO LATERAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cruzamento,Bom,Intermitente,Perfeito estado,Seca,Perfeito estado,Outros,Outras,Única,Não existe,2021,7,11,6,0
SEM VÍTIMA,FINALIZADA,IMBIRIBEIRA,IMBIRIBEIRA,Não informado,ABALROAMENTO LONGITUDINAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Outras,Única,Faixa contínua,2020,2,5,2,0
COM VÍTIMA,FINALIZADA,SANTO AMARO,SANTO AMARO,Não informado,COLISÃO TRASEIRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Não há placas,Única,Faixa contínua,2021,5,24,0,0
COM VÍTIMA,FINALIZADA,JAQUEIRA,JAQUEIRA,SUBURBIO,COLISÃO LATERAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não há placas,Única,Faixa seccionada,2021,8,3,1,0
SEM VÍTIMA,FINALIZADA,IMBIRIBEIRA,IMBIRIBEIRA,CIDADE,COLISÃO TRASEIRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Não informado,Única,Canteiro central,2020,1,6,0,0
Não informado,FINALIZADA,ESPINHEIRO,ESPINHEIRO,Não informado,COLISÃO TRASEIRA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Longo da via,Nublado,Sem defeito,Perfeito estado,Molhada,Perfeito estado,Faixa de pedestre,Não há placas,Dupla,Faixa contínua,2022,2,17,3,0
COM VÍTIMA,CANCELADA,PINA,PINA,Não informado,COLISÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,2020,2,12,2,0
Não informado,CANCELADA,IPUTINGA,IPUTINGA,Não informado,COLISÃO LATERAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,2022,2,15,1,0
Não informado,FINALIZADA,AREIAS,AREIAS,SUBURBIO,COLISÃO LATERAL,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Não informado,Não há placas,Dupla,Canteiro central,2022,10,10,0,1
SEM VÍTIMA,FINALIZADA,BOA VISTA,BOA VISTA,CIDADE,COLISÃO TRASEIRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Outras,Única,Não existe,2020,3,8,6,0
Não informado,FINALIZADA,MADALENA,MADALENA,Não informado,COLISÃO COM CICLISTA,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Outros,Não existe,Não há placas,Única,Faixa seccionada,2022,10,11,1,1
SEM VÍTIMA,FINALIZADA,IBURA,IBURA,SUBURBIO,COLISÃO TRASEIRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não há placas,Dupla,Faixa contínua,2021,8,24,1,0
Não informado,FINALIZADA,SANTO AMARO,SANTO AMARO,SUBURBIO,COLISÃO TRANSVERSAL,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cruzamento,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Faixa de retenção,Outras,Dupla,Faixa seccionada,2022,2,9,2,1
COM VÍTIMA,FINALIZADA,BOA VISTA,BOA VISTA,SUBURBIO,COLISÃO TRASEIRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,R-6a,Única,Faixa seccionada,2021,10,11,0,0
COM VÍTIMA,FINALIZADA,IMBIRIBEIRA,IMBIRIBEIRA,CIDADE,COLISÃO LATERAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Outras,Dupla,Faixa seccionada,2021,10,25,0,0
COM VÍTIMA,FINALIZADA,IPUTINGA,IPUTINGA,CIDADE,COLISÃO FRONTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Não há placas,Dupla,Faixa contínua,2021,11,14,6,0
COM VÍTIMA,FINALIZADA,IPUTINGA,IPUTINGA,CIDADE,ABALROAMENTO LONGITUDINAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Outros,Outras,Dupla,Não existe,2020,11,16,0,0
COM VÍTIMA,FINALIZADA,SÃO JOSÉ,SÃO JOSÉ,CIDADE,COLISÃO TRASEIRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não há placas,Dupla,Canteiro central,2021,5,3,0,0
COM VÍTIMA,FINALIZADA,SANTANA,SANTANA,SUBURBIO,COLISÃO TRANSVERSAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Não existe,Incompleta,Seca,Perfeito estado,Não existe,Outras,Dupla,Não informado,2021,9,9,3,0
SEM VÍTIMA,FINALIZADA,MADALENA,MADALENA,Não informado,ABALROAMENTO LONGITUDINAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cruzamento,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,R-6a,Única,Faixa seccionada,2020,2,4,1,0
SEM VÍTIMA,CANCELADA,BOA VIAGEM,BOA VIAGEM,Não informado,COLISÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,2021,3,1,0,0
COM VÍTIMA,FINALIZADA,AREIAS,AREIAS,CIDADE,COLISÃO TRASEIRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Não há placas,Única,Canteiro central,2021,12,10,4,0
Não informado,FINALIZADA,BONGI,BONGI,CIDADE,CHOQUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,2022,9,14,2,1
COM VÍTIMA,FINALIZADA,TEJIPIÓ,TEJIPIÓ,SUBURBIO,ATROPELAMENTO DE PESSOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Não informado,Dupla,Faixa contínua,2021,2,3,2,0
COM VÍTIMA,FINALIZADA,IMBIRIBEIRA,IMBIRIBEIRA,CIDADE,CHOQUE OBJETO FIXO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Chuvoso,Sem defeito,Perfeito estado,Molhada,Perfeito estado,Não existe,Não há placas,Dupla,Canteiro central,2020,10,15,3,0
Não informado,FINALIZADA,IBURA,IBURA,Não informado,TOMBAMENTO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,2022,1,28,4,1
