data,hora,natureza_acidente,situacao,bairro,endereco,detalhe_endereco_acidente,complemento,bairro_cruzamento,sentido_via,tipo,descricao,auto,moto,ciclom,ciclista,pedestre,onibus,caminhao,viatura,outros,vitimas,vitimasfatais,acidente_verificado,tempo_clima,situacao_semaforo,sinalizacao,condicao_via,conservacao_via,ponto_controle,situacao_placa,velocidade_max_via,mao_direcao,divisao_via1,natureza,ano,mes,dia,dia_semana,hora_ocorrencia
2020-01-02,09:50:00,SEM VÍTIMA,FINALIZADA,AFOGADOS,Não informado,Não informado,EM FRENTE A LOJA MARCUS SAPATOS,AFOGADOS,SUBURBIO,ABALROAMENTO LONGITUDINAL,SEM VITIMAS,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,R-6a,60.0,Única,Faixa contínua,Não informado,2020,1,2,3,9.0
2020-01-02,10:27:00,SEM VÍTIMA,CANCELADA,COHAB,RUA DEPUTADO JOAQUIM COUTINHO,Não informado,EM FRENTE A UPA DA LAGOA ENCANTADA,COHAB,Não informado,COLISÃO,SEM VITIMAS,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,60.0,Não informado,Não informado,Não informado,2020,1,2,3,10.0
2020-01-02,10:33:00,COM VÍTIMA,FINALIZADA,BARRO,AV DR JOSE RUFINO,RUA MAJOR CHAGAS DE OLIVEIRA,NA ENTRADA DA BR 101 (AUTO ELÉTRICA VAL),BARRO,CIDADE,ABALROAMENTO TRANSVERSAL,COLISÃO C/VITIMA ENTRE UMA MOTO E UM AUTO,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Cruzamento,Bom,Não existe,Não informado,Seca,Mal conservada,Não existe,Não há placas,60.0,Dupla,Faixa contínua,Não informado,2020,1,2,3,10.0
2020-01-02,12:21:00,COM VÍTIMA,FINALIZADA,BOA VIAGEM,RUA VISCONDE DE JEQUITINHONHA,Não informado,E/F AO SOBERANO,BOA VIAGEM,CIDADE,COLISÃO TRASEIRA,ENTRE AUTO PASSEIO X MOTO COM VÍTIMA,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Não informado,Não há placas,60.0,Única,Não informado,Não informado,2020,1,2,3,12.0
2020-01-02,13:09:00,SEM VÍTIMA,FINALIZADA,ENGENHO DO MEIO,RUA GOVERNADOR LOPO GARRO,RUA LINDOLFO COLOR,Não informado,ENGENHO DO MEIO,SUBURBIO,ABALROAMENTO LONGITUDINAL,COLISÃO SEM VÍTIMA,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cruzamento,Bom,Não existe,Não informado,Seca,Não informado,Não existe,Placas Pare,60.0,Dupla,Não existe,Não informado,2020,1,2,3,13.0
2020-01-02,13:27:00,SEM VÍTIMA,CANCELADA,NOVA DESCOBERTA,RUA ALTO JARDIM PROGRESSO,Não informado,NO TERMINAL DO TRASPORTE COMPLEMENTAR,NOVA DESCOBERTA,Não informado,COLISÃO,COLISAO ENTRE DOIS MICROONIBUS DO TRASPORTE COMPLEMENTAR,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,60.0,Não informado,Não informado,Não informado,2020,1,2,3,13.0
2020-01-02,14:12:00,SEM VÍTIMA,FINALIZADA,JORDÃO,RUA DES EVANDRO NETTO,RUA DR ALVARO FERRAZ,Não informado,JORDÃO,CIDADE,ABALROAMENTO LONGITUDINAL,COLISÃO SEM VÍTIMA,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Cruzamento,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Placas Pare,60.0,Dupla,Não existe,Não informado,2020,1,2,3,14.0
2020-01-02,14:15:00,SEM VÍTIMA,FINALIZADA,BOA VIAGEM,AV CONSELHEIRO AGUIAR,RUA JORNALISTA FRANCISCO ALMEIDA,Não informado,BOA VIAGEM,CIDADE,ABALROAMENTO LONGITUDINAL,ENTRE DOIS AUTOS S/V,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Não informado,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,R-6a,60.0,Única,Faixa contínua,Não informado,2020,1,2,3,14.0
2020-01-02,14:27:00,SEM VÍTIMA,FINALIZADA,PORTO DA MADEIRA,RUA JUDITE,AV ANIBAL BENEVOLO,APÓS BARBEARIA GE CABELOS,PORTO DA MADEIRA,SUBURBIO,CHOQUE VEÍCULO PARADO,COLISÃO SEM VÍTIMA,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Não informado,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Placas Pare,60.0,Dupla,Não existe,Não informado,2020,1,2,3,14.0
2020-01-02,14:36:00,COM VÍTIMA,FINALIZADA,PRADO,RUA JOAO IVO DA SILVA,Não informado,E/F A HONDA,PRADO,SUBURBIO,COLISÃO COM CICLISTA,COLISAO ENTRE MOTO E CICLISTA VT 15 NO LOCAL,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Outras,60.0,Única,Faixa contínua,Não informado,2020,1,2,3,14.0
2020-01-02,15:23:00,SEM VÍTIMA,FINALIZADA,ILHA DO RETIRO,EST DOS REMEDIOS,AV ENGENHEIRO ABDIAS DE CARVALHO,BOB'S,ILHA DO RETIRO,Não informado,ABALROAMENTO LONGITUDINAL,ENTRE DOIS AUTOS S/V,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Não informado,60.0,Única,Canteiro central,Não informado,2020,1,2,3,15.0
2020-01-02,16:01:00,COM VÍTIMA,FINALIZADA,IPUTINGA,AV CAXANGA,AV LUIZ DE LACERDA,E/F AO TERMINAL TI CDU EM FRENTE A FORD GRANVIA,IPUTINGA,SUBURBIO,COLISÃO TRASEIRA,COLISAO ENTRE TAXI E MOTO COM UMA VITIMA,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Esquina,Bom,Não existe,Incompleta,Seca,Perfeito estado,Não existe,R-6a,60.0,Dupla,Canteiro central,Não informado,2020,1,2,3,16.0
2020-01-02,16:07:00,COM VÍTIMA,FINALIZADA,FUNDÃO,AV BEBERIBE,RUA CORONEL URBANO RIBEIRO DE SENA,NA ENTRADA DA BARRIGUDA NO SEMAFORO 307,FUNDÃO,SUBURBIO,ABALROAMENTO TRANSVERSAL,AUTO E MOTO.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Outras,60.0,Dupla,Não existe,Não informado,2020,1,2,3,16.0
2020-01-02,16:39:00,SEM VÍTIMA,FINALIZADA,MACAXEIRA,AV NORTE,Não informado,EM FRENTE AO PARQUE DA MACAXEIRA,MACAXEIRA,CIDADE,CHOQUE VEÍCULO PARADO,ENTRE ONIBUS X AUTO PASSEIO S/V,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Outras,60.0,Dupla,Canteiro central,Não informado,2020,1,2,3,16.0
2020-01-02,16:52:00,SEM VÍTIMA,FINALIZADA,BOA VIAGEM,RUA BARAO DE SOUZA LEAO,Não informado,SOB O SEMÁFORO 159,BOA VIAGEM,SUBURBIO,ABALROAMENTO LONGITUDINAL,ENTRE DOIS AUTOS S/V,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Não há placas,60.0,Única,Não informado,Não informado,2020,1,2,3,16.0
2020-01-02,17:16:00,SEM VÍTIMA,FINALIZADA,BAIRRO DO RECIFE,AV ALFREDO LISBOA,Não informado,EM FRENTE A SAÍDA / ENTRADA DO ARMAZÉM 14,BAIRRO DO RECIFE,CIDADE,ABALROAMENTO LONGITUDINAL,COLISAO ENTRE CAMINHAO E AUTOS S/V,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Não existe,Incompleta,Seca,Mal iluminada,Não informado,Outras,30.0,Única,Faixa seccionada,Não informado,2020,1,2,3,17.0
2020-01-02,17:42:00,SEM VÍTIMA,FINALIZADA,IMBIRIBEIRA,AV MARECHAL MASCARENHAS DE MORAES,Não informado,LADO OPOSTO A PARVI LOCADORA,IMBIRIBEIRA,CIDADE,COLISÃO TRASEIRA,COLISÃO SEM VÍTIMA,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,R-6c,60.0,Dupla,Canteiro central,Não informado,2020,1,2,3,17.0
2020-01-02,17:59:00,SEM VÍTIMA,CANCELADA,ENCRUZILHADA,EST DE BELEM,LGO ENCRUZILHADA,AO LADO DA PAGUE MENOS,ENCRUZILHADA,Não informado,COLISÃO,ENTRE AUTO PASSEIO X CAMINHÃO S/V,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,60.0,Não informado,Não informado,Não informado,2020,1,2,3,17.0
2020-01-02,20:13:00,COM VÍTIMA,FINALIZADA,MADALENA,RUA JOSE OSORIO,Não informado,E/F A UNICAR AUTOMOVES,MADALENA,SUBURBIO,CHOQUE VEÍCULO PARADO,CONDUTORA DO GM/ONIX DESMAIOU E CAPOTOU O VEICULO QUE- SE CHOCOU CONTRA DOIS OUTROS AUTOS PASSEIO QUE ESTAVAM ESTACIONADOS NA VIA,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não informado,60.0,Dupla,Faixa contínua,Não informado,2020,1,2,3,20.0
2020-01-02,20:32:00,SEM VÍTIMA,CANCELADA,ILHA DO RETIRO,RUA SPORT CLUBE DO RECIFE,Não informado,E/F AO SPORT CLUBE DO RECIFE,ILHA DO RETIRO,Não informado,COLISÃO,ONIBUS X AUTO PASSEIO S/V,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,60.0,Não informado,Não informado,Não informado,2020,1,2,3,20.0
2020-01-02,21:14:00,SEM VÍTIMA,CANCELADA,BAIRRO DO RECIFE,AV ALFREDO LISBOA,Não informado,E/F AO MARCO ZERO,BAIRRO DO RECIFE,Não informado,COLISÃO,ENTRE DOIS AUTOS S/V,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,60.0,Não informado,Não informado,Não informado,2020,1,2,3,21.0
2020-01-02,23:55:00,COM VÍTIMA,FINALIZADA,BONGI,AV ENGENHEIRO ABDIAS DE CARVALHO,Não informado,E/F A ESTACIO / PROX AO POSTO DISLUB,BONGI,SUBURBIO,COLISÃO TRASEIRA,ENTRE AUTO PASSEIO E MOTO COM VÍTIMA,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não informado,60.0,Única,Faixa seccionada,Não informado,2020,1,2,3,23.0
2020-01-03,00:39:00,SEM VÍTIMA,FINALIZADA,CORDEIRO,RUA ODETE MONTEIRO,AV PROFESSOR ESTEVAO FRANCISCO DA COSTA,Não informado,CORDEIRO,SUBURBIO,ABALROAMENTO TRANSVERSAL,COLISÃO ENTRE DOIS AUTOS- S/V,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cruzamento,Bom,Intermitente,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Não há placas,60.0,Dupla,Faixa seccionada,Não informado,2020,1,3,4,0.0
2020-01-03,06:04:00,SEM VÍTIMA,CANCELADA,SÃO JOSÉ,AV DANTAS BARRETO,Não informado,PROX A PRAÇA SERGIO LORETO   EM  FRENTE AO POSTO DE GASOLINA BR,SÃO JOSÉ,CIDADE,COLISÃO,COLISÃO SEM VITIMAS,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,60.0,Não informado,Não informado,Não informado,2020,1,3,4,6.0
2020-01-03,06:41:00,SEM VÍTIMA,FINALIZADA,IMBIRIBEIRA,AV MARECHAL MASCARENHAS DE MORAES,Não informado,LADO OPOSTO AO IBIS HOTEL / SEMÁFORO 218,IMBIRIBEIRA,CIDADE,COLISÃO TRASEIRA,COLISÃO S/VITIMAS ENTRE UM CAMINHÃO E UM AUTO (V.T 14(INS.FERNANDES) NO QTH),1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Não existe,Não há placas,60.0,Dupla,Canteiro central,Não informado,2020,1,3,4,6.0
2020-01-03,06:42:00,SEM VÍTIMA,FINALIZADA,ENCRUZILHADA,RUA CASTRO ALVES,Não informado,Não informado,ENCRUZILHADA,SUBURBIO,ABALROAMENTO LONGITUDINAL,COLISAO S/ VITIMA VEICULO E ONIBUS,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Não informado,60.0,Única,Faixa seccionada,Não informado,2020,1,3,4,6.0
2020-01-03,07:44:00,SEM VÍTIMA,EQUIPE NO LOCAL,CURADO,RUA DR GEORGE WILLIAM BUTLER,Não informado,EM FRENTE A VIP LEILÕES,CURADO,Não informado,ABALROAMENTO TRANSVERSAL,COLISÃO SEM VITIMAS,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Outras,60.0,Dupla,Faixa contínua,Não informado,2020,1,3,4,7.0
2020-01-03,07:53:00,COM VÍTIMA,FINALIZADA,BOA VISTA,RUA AURORA,AV MARIO MELO,E/F AO TRIBUNAL DE CONTAS DO ESTADO,BOA VISTA,SUBURBIO,COLISÃO COM CICLISTA,COLISÃO C/VITIMA ENTRE UMA MOTO E UMA BICICLETA (V.T NO 29),1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Não informado,60.0,Única,Faixa,Não informado,2020,1,3,4,7.0
2020-01-03,08:04:00,SEM VÍTIMA,FINALIZADA,SÃO JOSÉ,AV SUL,Não informado,Não informado,SÃO JOSÉ,CIDADE,COLISÃO TRASEIRA,COLISÃO S/VITIMAS ENTRE TRÊS AUTOS,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Outras,60.0,Dupla,Faixa contínua,Não informado,2020,1,3,4,8.0
